input_wages, input_is_weekly, input_is_four_weekly, input_is_monthly, expected_weekly_student_pg_loan, expected_four_weekly_student_pg_loan, expected_monthly_student_pg_loan
420.5,TRUE,FALSE,FALSE,0,0,0
420.51,TRUE,FALSE,FALSE,1,0,0
420.67,TRUE,FALSE,FALSE,1,0,0
620.51,TRUE,FALSE,FALSE,13,0,0
2303.85,TRUE,FALSE,FALSE,114,0,0
2787.33,TRUE,FALSE,FALSE,143,0,0
1632.04,FALSE,TRUE,FALSE,0,0,0
1632.05,FALSE,TRUE,FALSE,0,1,0
1632.21,FALSE,TRUE,FALSE,0,1,0
1748.72,FALSE,TRUE,FALSE,0,8,0
4565.39,FALSE,TRUE,FALSE,0,177,0
11182.05,FALSE,TRUE,FALSE,0,574,0
1766.66,FALSE,FALSE,TRUE,0,0,0
1766.67,FALSE,FALSE,TRUE,0,0,1
1766.83,FALSE,FALSE,TRUE,0,0,1
1816.67,FALSE,FALSE,TRUE,0,0,4
2500.16,FALSE,FALSE,TRUE,0,0,45
5783.34,FALSE,FALSE,TRUE,0,0,242
11266.67,FALSE,FALSE,TRUE,0,0,571
